code,name,type,lng,lat,district
00001,Phúc Xá,Phường,21 02 52N, 105 50 52E,001
00004,Trúc Bạch,Phường,21 02 50N, 105 50 21E,001
00006,Vĩnh Phúc,Phường,21 02 37N, 105 48 28E,001
00007,Cống Vị,Phường,21 02 08N, 105 48 28E,001
00008,Liễu Giai,Phường,21 02 21N, 105 48 56E,001
00010,Nguyễn Trung Trực,Phường,21 02 36N, 105 50 43E,001
00013,Quán Thánh,Phường,21 02 26N, 105 50 23E,001
00016,Ngọc Hà,Phường,21 02 24N, 105 49 23E,001
00019,Điện Biên,Phường,21 02 04N, 105 50 07E,001
00022,Đội Cấn,Phường,21 02 10N, 105 49 31E,001
00025,Ngọc Khánh,Phường,21 01 52N, 105 48 27E,001
00028,Kim Mã,Phường,21 01 53N, 105 49 20E,001
00031,Giảng Võ,Phường,21 01 42N, 105 48 58E,001
00034,Thành Công,Phường,21 01 17N, 105 48 50E,001
00037,Phúc Tân,Phường,21 02 17N, 105 51018E,002
00040,Đồng Xuân,Phường,21 02 22N, 105 50 54E,002
00043,Hàng Mã,Phường,21 02 17N, 105 50 42E,002
00046,Hàng Buồm,Phường,21 02 11N, 105 51 02E,002
00049,Hàng Đào,Phường,21 02 07N, 105 50 54E,002
00052,Hàng Bồ,Phường,21 02 09N, 105 50 46E,002
00055,Cửa Đông,Phường,21 02 00N, 105 50 37E,002
00058,Lý Thái Tổ,Phường,21 01 56N, 105 51 11E,002
00061,Hàng Bạc,Phường,21 02 01N, 105 51 03E,002
00064,Hàng Gai,Phường,21 01 59N, 105 50 48E,002
00067,Chương Dương Độ,Phường,21 01 38N, 105 51 37E,002
00070,Hàng Trống,Phường,21 01 47N, 105 50 55E,002
00073,Cửa Nam,Phường,21 01 34N, 105 50 27E,002
00076,Hàng Bông,Phường,21 01 46N, 105 50 37E,002
00079,Tràng Tiền,Phường,21 01 34N, 105 51 10E,002
00082,Trần Hưng Đạo,Phường,21 01 26N, 105 50 41E,002
00085,Phan Chu Trinh,Phường,21 01 21N, 105 51 20E,002
00088,Hàng Bài,Phường,21 01 20N, 105 51 00E,002
00091,Phú Thượng,Phường,21 05 08N, 105 48 24E,003
00094,Nhật Tân,Phường,21 04 42N, 105 49 22E,003
00097,Tứ Liên,Phường,21 04 07N, 105 50 09E,003
00100,Quảng An,Phường,21 03 42N, 105 49 24E,003
00103,Xuân La,Phường,21 03 41N, 105 48 12E,003
00106,Yên Phụ,Phường,21 03 17N, 105 50 17E,003
00109,Bưởi,Phường,21 03 17N, 105 48 40E,003
00112,Thuỵ Khuê,Phường,21 02 46N, 105 49 23E,003
00115,Thượng Thanh,Phường,21 04 01N, 105 52 50E,004
00118,Ngọc Thuỵ,Phường,21 03 48N, 105 51 24E,004
00121,Giang Biên,Phường,21 04 02N, 105 55 04E,004
00124,Đức Giang,Phường,21 03 58N, 105 53 46E,004
00127,Việt Hưng,Phường,21 03 17N, 105 54 05E,004
00130,Gia Thuỵ,Phường,21 03 06N, 105 53 16E,004
00133,Ngọc Lâm,Phường,21 02 52N, 105 52 26E,004
